index,Question,Answer
1,"Which of the following would be the best example of a deterrent control?
A. A log aggregation system
B. Hidden cameras onsite
C. A guard posted outside the door
D. Backup recovery systems","C. If you’re doing something as a deterrent, you’re trying to prevent an attack inthe first place. In this physical security deterrent control, a guard visible outsidethe door could help prevent physical attacks."
2,"Enacted in 2002, this U.S. law requires every federal agency to implement
information security programs, including significant reporting on complianceand accreditation. Which of the following is the best choice for this definition?
A. FISMA
B. HIPAA
C. NIST 800-53
D. OSSTMM","A. FISMA has been around since 2002 and was updated in 2014. It gave certaininformation security responsibilities to NIST, OMB, and other government
agencies, and declared the Department of Homeland Security (DHS) as the
operational lead for budgets and guidelines on security matters."
3,"Brad has done some research and determined a certain set of systems on his
network fail once every ten years. The purchase price for each of these systems
is $1200. Additionally, Brad discovers the administrators on staff, who earn$50 an hour, estimate five hours to replace a machine. Five employees, earning$25 an hour, depend on each system and will be completely unproductive whileit is down. If you were to ask Brad for an ALE on these devices, what should behis answer?
A. $2075
B. $207.50
C. $120
D. $1200","B. ALE = ARO × SLE. To determine ARO, divide the number of occurrences bythe number of years (1 occurrence/10 years = 0.1). To determine SLE, add thepurchase cost (1200) plus the amount of time to replace (5 × 50 = 250) plus theamount of lost work (5 hours × 5 employees × 25 = 625). In this case, it all addsup to $2075. ALE = 0.1 × 2075, or $207.50."
4,"An ethical hacker is hired to test the security of a business network. The CEH isgiven no prior knowledge of the network and has a specific framework in whichto work, defining boundaries, nondisclosure agreements, and the completiondate. Which of the following is a true statement?
A. A white hat is attempting a black-box test.
B. A white hat is attempting a white-box test.
C. A black hat is attempting a black-box test.
D. A black hat is attempting a gray-box test","A. In this example, an ethical hacker was hired under a specific agreement,
making him a white hat. The test he was hired to perform is a no-knowledgeattack, making it a black-box test."
5,"When an attack by a hacker is politically motivated, the hacker is said to be
participating in which of the following?
A. Black-hat hacking
B. Gray-box attacks
C. Gray-hat attacks
D. Hacktivism","D. Hackers who use their skills and talents to forward a cause or a political agenda
are practicing hacktivism."
6,". Two hackers attempt to crack a company’s network resource security. One is
considered an ethical hacker, whereas the other is not. What distinguishes theethical hacker from the “cracker”?
A. The cracker always attempts white-box testing.
B. The ethical hacker always attempts black-box testing.
C. The cracker posts results to the Internet
D. The ethical hacker always obtains written permission before testing.","D. The ethical hacker always obtains written permission before testing and never
performs a test without it!"
7,"In which stage of an ethical hack would the attacker actively apply tools and
techniques to gather more in-depth information on the targets?
A. Active reconnaissance
B. Scanning and enumeration
C. Gaining access
D. Passive reconnaissance","B. The second of the five phases of an ethical hack attempt, scanning and
enumeration, is the step where ethical hackers take the information they gatheredin recon and actively apply tools and techniques to gather more in-depth
information on the targets."
8,"Which type of attack is generally conducted as an inside attacker with elevated
privileges on the resources?
A. Gray box
B. White box
C. Black box
D. Active reconnaissance","B. A white-box attack is intended to simulate an internal attacker with elevatedprivileges, such as a network administrator."
9,"Which of the following Common Criteria processes refers to the system or
product being tested?
A. ST
B. PP
C. EAL
D. TOE",D. The target of evaluation (TOE) is the system or product being tested.
10,"Your company has a document that spells out exactly what employees are allowed to do on their computer systems. It also defines what is prohibited and what
consequences await those who break the rules. A copy of this document is signedby all employees prior to their network access. Which of the following best
describes this policy?
A. Information security policy
B. Special access policy
C. Information audit policy
D. Network connection policy","A. The information security policy defines what is allowed and not allowed, andwhat the consequences are for misbehavior in regard to resources on the corporate
network. Generally this is signed by employees prior to their account creation."
11,"Sally is a member of a pen test team newly hired to test a bank’s security. She
begins searching for IP addresses the bank may own by searching public records
on the Internet. She also looks up news articles and job postings to discover
information that may be valuable. In what phase of the pen test is Sally working?
A. Preparation
B. Assessment
C. Conclusion
D. Reconnaissance","B. The assessment phase, which EC-Council also likes to interchangeably denote
as the “conduct” phase sometimes, is where all the activity takes place—including
the passive information gathering performed by Sally in this example."
12,"Joe is a security engineer for a firm. His company downsizes, and Joe discovers hewill be laid off within a short amount of time. Joe plants viruses and sets about
destroying data and settings throughout the network, with no regard to beingcaught. Which type of hacker is Joe considered to be?
A. Hacktivist
B. Suicide hacker
C. Black hat
D. Script kiddie","B. A suicide hacker doesn’t care about being caught. Jail time and punishment
mean nothing to these guys. While sometimes they are tied to a political or
religious group or function, sometimes they’re just angry folks looking to make
an entity pay for some perceived wrongdoing."
13,"Elements of security include confidentiality, integrity, and availability. Whichtechnique provides for integrity?
A. Encryption
B. UPS
C. Hashing
D. Passwords","C. A hash is a unique numerical string, created by a hashing algorithm on a
given piece of data, used to verify data integrity. Generally, hashes are used to
verify the integrity of files after download (comparison to the hash value on the
site before download) and/or to store password values. Hashes are created by a
one-way algorithm."
14,"Which of the following best describes an effort to identify systems that are critical
for continuation of operation for the organization?
A. BCP
B. BIA
C. MTD
D. DRP","B. The business impact analysis best matches this description. Although maximumtolerable downtime is part of the process, and a continuity plan certainly addresses
it, a BIA is the actual process to identify those critical systems."
15,"Which of the following would be the best choice for footprinting restricted URLs and OS information from a target?
A. www.archive.org
B. www.alexa.com
C. Netcraft
D. OSRF","C. Netcraft is the best choice here, as it is the only choice allowing for restricted URL and OS information footprinting."
16,"Which of the following consists of a publicly available set of database that contain domain name registration contact information?
A. IETF
B. IANA
C. Whois
D. OSRF","C. Whois is a great resource to scour public information regarding your target. Registration databases contain data points that may be useful, such as domain registration, points of contacts, and IP ranges."
17,"An SOA record gathered from a zone transfer is shown here:
@ IN SOA DNSRV1.anycomp.com. postmaster.anycomp.com. (
4 ; serial number
3600 ; refresh [1h]
600 ; retry [10m]
86400 ; expire [1d]
3600 ) ; min TTL [1h]
What is the name of the authoritative DNS server for the domain, and how often will secondary seerves check in for updates?
A. DNSRV1.anycomp.com, every 3600  seconds
B. DNSRV1.anycomp.com, every 600 seconds
C. DNSRV1.anycomp.com, every 4 seconds
D. postmaster.anycomp.com, every 600 seconds","A. The SOA record always starts by defining the authoritative server—in this case, DNSRV1—followed by e-mail contact and a host of other entries. Refresh time defines the interval in which secondary servers will check for updates—in this case, every 3600 seconds (1 hour)."
18,"A security peer is confused about a recent incident. An attacker successfully accessed a machine in the organization and made off with some sensitive data. A full vulnerability scan was run immediately following the theft, and nothing was discovered. Which of the following best describes what mayhave happened?   

A. The attacker took advantage of a zero-day vulnerability on the machine.

B. The attacker performed a full rebuild of the machine after he was done.

C. The attacker performed a denial-of-service attack.

D. Security measures on the device were completely disabled before the attack began.   

","A. A zero-day vulnerability is one that security personnel, vendors, and even vulnerability scanners simply don't know about yet. It's more likely the attacker is using an attack vector unknown to the security personnel than he somehow managed to turn off all security measures without alerting anyone.   

"
19,"Which footprinting tool or technique can be used to find the names and addresses of employees or technical points of contact?

A. whois

B. nslookup

C. dig

D. traceroute   

","A. Whois provides information on the domain registration, including technical and business POCs addresses and e-mails."
20,"Which Google hack would display all pages that have the words SQL and Version in their titles?

A. inurl:SQL inurl:version

B. allinurl:SQL version

C. intitle:SQL inurl:version

D. allintitle:SQL version   

",D. The Google search operator allintitle: allows for the combination of strings in the title. The operator inurl: looks only in the URL of the site.
21,"Which of the following are passive footprinting methods? (Choose all that apply.)

A. Checking DNS replies for network mapping purposes   

B. Collecting information through publicly accessible sources

C. Performing a ping sweep against the network range

D. Sniffing network traffic through a network tap ","A, B. Passive footprinting is all about publicly accessible sources."
